,construction,fom,vom
egs_allkm_5,5.506553405,0.151210424,0.00004967
egs_allkm_6,5.506553405,0.151210424,0.00004967
egs_allkm_7,5.506553405,0.151210424,0.00004967
egs_allkm_8,5.506553405,0.151210424,0.00004967
egs_allkm_9,5.506553405,0.151210424,0.00004967
egs_allkm_10,5.506553405,0.151210424,0.00004967
geohydro_allkm_1,4.614237729,0.15681119,0.00003511
geohydro_allkm_2,4.614237729,0.15681119,0.00003511
geohydro_allkm_3,4.614237729,0.15681119,0.00003511
geohydro_allkm_4,4.614237729,0.15681119,0.00003511
geohydro_allkm_5,4.614237729,0.15681119,0.00003511
geohydro_allkm_6,4.614237729,0.15681119,0.00003511
geohydro_allkm_7,4.614237729,0.15681119,0.00003511
geohydro_allkm_8,4.614237729,0.15681119,0.00003511
geohydro_allkm_9,4.614237729,0.15681119,0.00003511
geohydro_allkm_10,4.614237729,0.15681119,0.00003511
egs_nearfield_1,5.506553405,0.151210424,0.00004967
egs_nearfield_2,5.506553405,0.151210424,0.00004967
egs_nearfield_3,5.506553405,0.151210424,0.00004967
egs_nearfield_4,5.506553405,0.151210424,0.00004967
egs_nearfield_5,5.506553405,0.151210424,0.00004967
egs_nearfield_6,5.506553405,0.151210424,0.00004967
egs_nearfield_7,5.506553405,0.151210424,0.00004967
egs_nearfield_8,5.506553405,0.151210424,0.00004967
egs_nearfield_9,5.506553405,0.151210424,0.00004967
egs_nearfield_10,5.506553405,0.151210424,0.00004967
Gas-CT_H2-CT,1.124155973,0.28,0.00004233
Gas-CC_H2-CC,0.57898781,0.052,0.00002764
CoalOldUns_CoalOldScr,2.663868535,0.16,0.00003948
CoalOldUns_CofireOld,2.663868535,0.16,0.00003948
CoalOldScr_CofireOld,2.663868535,0.16,0.00003948
coal-new_CofireNew,2.663868535,0.16,0.00003948
Gas-CC_Gas-CC-CCS_mod,0.858296124,0.084,0.00005634
Coal-IGCC_coal-CCS_mod,1.617499527,0.156923077,0.00005634
coal-new_coal-CCS_mod,1.617499527,0.156923077,0.00005634
CoalOldScr_coal-CCS_mod,1.617499527,0.156923077,0.00005634
CoalOldUns_coal-CCS_mod,1.617499527,0.156923077,0.00005634
CofireNew_coal-CCS_mod,1.617499527,0.156923077,0.00005634
CofireOld_coal-CCS_mod,1.617499527,0.156923077,0.00005634
Gas-CC_Gas-CC-CCS_max,0.858296124,0.084,0.00005634
Coal-IGCC_coal-CCS_max,1.617499527,0.156923077,0.00005634
coal-new_coal-CCS_max,1.617499527,0.156923077,0.00005634
CoalOldScr_coal-CCS_max,1.617499527,0.156923077,0.00005634
CoalOldUns_coal-CCS_max,1.617499527,0.156923077,0.00005634
CofireNew_coal-CCS_max,1.617499527,0.156923077,0.00005634
CofireOld_coal-CCS_max,1.617499527,0.156923077,0.00005634
hydEND_hydED,3.088992778,0.019831569,0
hydED_pumped-hydro,4.437357277,0.105776354,0
hydED_pumped-hydro-flex,4.437357277,0.105776354,0
